PC1	PC2	GRP	ID
-0.00226979	-0.0029026	SHD	SHD_5501
-0.00878367	0.00400123	SHD	SHD_5530
-0.00508795	0.00061435	SHD	SHD_5650
-0.0111472	0.00427169	SHD	SHD_5759
-0.00771194	0.00343831	SHD	SHD_5760
-0.00975676	0.00652624	SHD	SHD_5813
-0.0101992	0.00549401	SHD	SHD_5856
-0.00670561	0.000213705	SHD	SHD_5862
-0.00190825	0.0043536	SHD	SHD_5867
-0.00503414	-0.00444182	SHD	SHD_5883
-0.0119664	0.0069119	SHD	SHD_5885
-0.00641757	0.000610314	SHD	SHD_5913
-0.00256697	-0.00252931	SHD	SHD_5932
-0.00889145	-0.00046298	SHD	SHD_5971
-0.00759989	0.0050494	SHD	SHD_5982
-0.0108268	0.00443857	SHD	SHD_6009
-0.0107536	-0.000176921	SHD	SHD_6021
-0.00760132	0.00433529	SHD	SHD_6026
-0.00486264	0.00428591	SHD	SHD_6027
-0.011181	0.00457687	SHD	SHD_6032
-0.00848971	0.00364995	SHD	SHD_6236
-0.0110091	0.00327646	SHD	SHD_6282
-0.00868018	0.00135546	SHD	SHD_6283
-0.00687081	0.00277454	SHD	SHD_6293
-0.00680862	0.00110872	SHD	SHD_6297
-0.00487872	0.000478344	SHD	SHD_6306
-0.0118212	0.00568316	SHD	SHD_6333
-0.010721	0.00517057	SHD	SHD_6350
-0.0125605	0.00323693	SHD	SHD_6378
-0.00804512	0.00279267	SHD	SHD_6450
-0.0104398	0.00606855	SHD	SHD_6505
-0.0107127	0.0020191	SHD	SHD_6574
-0.0112131	0.00269198	SHD	SHD_6605
-0.00589016	-0.00139227	SHD	SHD_6629
-0.0100244	0.00442059	SHD	SHD_6658
-0.00535684	0.000594457	SHD	SHD_6697
-0.00576727	0.00205698	SHD	SHD_6735
-0.00974651	0.00433156	SHD	SHD_6760
-0.011861	0.00634736	SHD	SHD_6792
-0.00927294	0.00505088	SHD	SHD_6808
-0.00949336	0.00458279	SHD	SHD_6830
-0.00711229	0.00254686	SHD	SHD_6844
-0.00864865	0.00400988	SHD	SHD_6854
-0.00970346	0.00323808	SHD	SHD_6871
-0.00684201	-0.00077198	SHD	SHD_6893
-0.000292128	-0.00378596	SHD	SHD_6898
-0.00914698	0.00903097	SHD	SHD_6952
-0.0064972	0.00231448	SHD	SHD_6977
-0.0114967	0.00526308	SHD	SHD_7047
-0.0106521	0.00598215	SHD	SHD_7088
-0.0109794	0.00503577	SHD	SHD_7089
-0.0103452	0.00759473	SHD	SHD_7125
-0.00430671	-0.00518747	SHD	SHD_7128
-0.00371321	0.00357782	SHD	SHD_7149
-0.00658234	-0.00173212	SHD	SHD_7212
-0.0110813	0.00627421	SHD	SHD_7285
-0.00576721	0.000726947	SHD	SHD_7297
-0.00743083	0.00557257	SHD	SHD_7314
